time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-12-31T16:36:23.043Z,27.727,85.799,22.322,4.6,mb,60,99,0.466,0.55,us,us6000m0uh,2024-03-02T21:39:35.040Z,"27 km E of Nagarkot, Nepal",earthquake,9.97,2.373,0.064,73,reviewed,us,us
2023-12-25T23:03:56.507Z,34.7111,76.7782,34.705,4.6,mb,100,79,3.096,0.4,us,us7000llf2,2024-03-02T21:39:40.040Z,"24 km S of Thang, India",earthquake,5.88,5.172,0.059,85,reviewed,us,us
2023-12-19T12:14:23.981Z,18.111,95.9762,10,4.5,mb,49,154,2.84,0.83,us,us7000lk1s,2024-02-27T22:57:01.040Z,"43 km NNE of Letpandan, Myanmar",earthquake,7.47,1.904,0.1,29,reviewed,us,us
2023-12-18T22:20:45.046Z,5.9749,94.8546,9.334,4.5,mb,63,80,2.211,0.44,us,us7000ljyb,2024-02-27T22:57:01.040Z,"51 km W of Sabang, Indonesia",earthquake,9.33,4.016,0.083,42,reviewed,us,us
2023-12-18T10:31:29.554Z,33.1609,76.6962,10,4.8,mww,92,51,6.514,0.73,us,us7000lju0,2024-02-27T22:57:00.040Z,"38 km SSW of Padam, India",earthquake,7.42,1.799,0.098,10,reviewed,us,us
2023-12-18T10:18:52.984Z,33.1836,76.8401,10,5.1,mww,119,32,3.023,0.97,us,us7000ljty,2024-02-27T22:57:00.040Z,"31 km S of Padam, India",earthquake,2.84,1.76,0.08,15,reviewed,us,us
2023-12-17T04:17:06.162Z,36.2885,76.3623,10,4.6,mb,32,86,3.658,1.36,us,us7000ljmh,2024-02-27T22:56:59.040Z,"128 km NNE of Skardu, Pakistan",earthquake,9.02,1.94,0.146,14,reviewed,us,us
2023-12-12T02:05:45.531Z,36.397,70.6032,152.821,4.9,mb,91,20,2.248,0.62,us,us7000liak,2024-02-17T22:43:06.040Z,"55 km SSW of Jurm, Afghanistan",earthquake,6.87,1.505,0.044,162,reviewed,us,us
2023-12-10T03:38:19.102Z,36.3106,69.9711,144.121,4.5,mb,62,56,1.922,1.21,us,us7000lhv1,2024-02-17T22:43:05.040Z,"30 km SSE of Farkhār, Afghanistan",earthquake,4.64,6.315,0.071,58,reviewed,us,us
2023-12-05T14:45:03.410Z,9.3573,93.9828,10,4.8,mb,75,47,5.047,0.77,us,us7000lgf0,2024-02-10T23:47:35.040Z,"289 km SSE of Port Blair, India",earthquake,8.36,1.805,0.077,52,reviewed,us,us
2023-12-03T18:22:23.057Z,32.2829,69.8057,44.594,4.5,mb,49,98,2.34,0.55,us,us7000lfxi,2024-02-10T23:47:26.040Z,"22 km E of Wana, Pakistan",earthquake,9.67,6.022,0.083,43,reviewed,us,us
2023-12-02T03:35:33.040Z,23.1475,90.9317,45.057,5.5,mww,118,35,0.806,0.6,us,us7000lfaa,2024-02-10T18:52:02.328Z,"9 km ENE of Rāmganj, Bangladesh",earthquake,6.91,4.538,0.073,18,reviewed,us,us
2023-11-30T13:42:32.361Z,25.0005,95.5436,166.34,4.6,mb,42,110,3.821,0.82,us,us7000les7,2024-02-06T21:53:55.040Z,"128 km SE of Phek, India",earthquake,6.91,8.677,0.087,39,reviewed,us,us
2023-11-29T08:12:24.794Z,12.1737,95.2346,10,4.8,mb,56,89,4.381,0.5,us,us7000lei7,2024-02-06T21:53:54.040Z,"276 km ENE of Port Blair, India",earthquake,9.79,1.879,0.086,45,reviewed,us,us
2023-11-28T12:11:50.049Z,25.1849,95.4219,10,4.6,mb,64,48,3.988,0.47,us,us7000leay,2024-02-06T21:53:54.040Z,"107 km ESE of Phek, India",earthquake,8.3,1.871,0.085,46,reviewed,us,us
2023-11-27T22:15:46.743Z,28.6795,87.7852,74.708,4.7,mb,69,61,1.119,0.4,us,us7000le79,2024-02-06T21:53:53.040Z,"124 km WSW of Rikaze, China",earthquake,9.05,8.214,0.068,66,reviewed,us,us
2023-11-26T19:24:22.473Z,12.6576,95.2787,10,4.5,mb,34,152,4.117,0.47,us,us6000lqwy,2024-02-06T21:53:52.040Z,"296 km ENE of Port Blair, India",earthquake,8.39,1.922,0.113,23,reviewed,us,us
2023-11-15T00:05:03.423Z,36.4517,71.312,119.705,4.9,mww,137,22,2.657,0.7,us,us6000lngc,2024-01-26T16:37:42.040Z,"32 km SW of Ashkāsham, Afghanistan",earthquake,6.72,5.84,0.089,12,reviewed,us,us
2023-11-08T23:21:32.691Z,13.4736,92.909,18.383,4.5,mb,30,93,6.101,0.53,us,us7000laqx,2024-01-13T23:11:49.040Z,"197 km N of Bamboo Flat, India",earthquake,12.95,4.826,0.122,20,reviewed,us,us
2023-11-08T05:02:05.284Z,6.6624,94.6503,95.025,4.7,mb,41,59,2.692,0.9,us,us7000lap5,2024-01-13T23:11:40.040Z,"112 km NW of Sabang, Indonesia",earthquake,11.31,6.052,0.246,14,reviewed,us,us
2023-11-07T09:07:03.243Z,6.7857,95.2054,188.776,4.7,mb,117,38,5.385,0.83,us,us7000l9ba,2024-01-13T23:10:23.040Z,"99 km N of Sabang, Indonesia",earthquake,9.73,6.733,0.054,108,reviewed,us,us
2023-11-07T00:02:12.657Z,7.3119,91.6874,10,4.6,mb,61,61,5.623,0.31,us,us7000l995,2024-01-18T21:16:21.636Z,"Nicobar Islands, India region",earthquake,8.45,1.846,0.083,43,reviewed,us,us
2023-11-06T21:12:53.639Z,5.2812,94.2999,37.232,4.8,mb,116,52,2.637,0.61,us,us7000l986,2024-01-18T21:16:14.510Z,"northern Sumatra, Indonesia",earthquake,6.42,5.467,0.058,93,reviewed,us,us
2023-11-06T10:46:39.805Z,28.8564,82.0652,10,5.3,mb,110,30,3.022,1.01,us,us7000l94m,2024-01-13T23:10:11.040Z,"34 km E of Dailekh, Nepal",earthquake,7.81,1.755,0.037,238,reviewed,us,us
2023-11-03T18:02:53.465Z,28.858,82.1531,12,5.7,mww,232,21,2.95,0.94,us,us7000l8p5,2024-01-10T06:01:50.040Z,"43 km E of Dailekh, Nepal",earthquake,5.99,1.688,0.06,27,reviewed,us,us
2023-11-01T12:51:15.409Z,10.9291,93.063,93.275,4.9,mww,160,49,6.768,0.65,us,us7000l828,2024-01-10T06:01:33.040Z,"88 km SSE of Port Blair, India",earthquake,9.18,6.471,0.098,10,reviewed,us,us
2023-10-31T00:40:06.435Z,36.5329,83.6482,10,4.6,mb,77,81,5.803,0.46,us,us7000l7nx,2024-01-10T06:01:20.040Z,"150 km E of Aqqan, China",earthquake,8.74,1.875,0.073,55,reviewed,us,us
2023-10-28T11:09:16.291Z,6.5874,88.2129,10.014,4.7,mb,67,131,7.487,0.4,us,us7000l76c,2024-01-04T04:22:37.040Z,"Bay of Bengal",earthquake,5.25,4.316,0.074,55,reviewed,us,us
2023-10-27T23:23:47.733Z,26.2481,95.5087,79.962,4.8,mb,112,60,5.005,0.57,us,us7000l70z,2024-01-04T04:22:29.040Z,"68 km E of Tuensang, India",earthquake,7.87,4.061,0.056,100,reviewed,us,us
2023-10-27T17:10:56.263Z,36.519,83.6881,10,4.7,mb,101,58,5.833,0.7,us,us7000l6xn,2024-01-04T04:22:26.040Z,"154 km E of Aqqan, China",earthquake,8.37,1.821,0.06,92,reviewed,us,us
2023-10-27T13:22:22.431Z,5.5504,94.525,71.525,4.7,mb,59,167,2.433,0.52,us,us7000l6uq,2024-01-04T04:22:25.040Z,"89 km W of Banda Aceh, Indonesia",earthquake,10.53,8.424,0.078,50,reviewed,us,us
2023-10-24T18:02:46.412Z,33.5193,87.4234,12.287,4.6,mb,127,69,4.945,0.48,us,us7000l61c,2024-01-04T04:22:07.040Z,"western Xizang",earthquake,8.79,2.622,0.051,119,reviewed,us,us
2023-10-23T08:43:37.339Z,31.607,88.1062,10,4.7,mb,139,35,3.221,0.48,us,us6000lhg2,2024-01-04T04:21:56.040Z,"271 km NNW of Rikaze, China",earthquake,6.95,1.833,0.051,120,reviewed,us,us
2023-10-23T06:10:38.528Z,33.5562,91.1286,10,4.9,mb,132,49,3.841,0.4,us,us6000lhff,2024-01-04T04:21:55.040Z,"246 km NNW of Nagqu, China",earthquake,7.74,1.833,0.051,121,reviewed,us,us
2023-10-22T01:54:21.100Z,27.8879,84.7252,25.706,5.2,mb,101,29,1.848,0.82,us,us6000lh8c,2024-03-09T02:50:26.658Z,"36 km NE of Bharatpur, Nepal",earthquake,5.82,4.541,0.038,230,reviewed,us,us
2023-10-18T16:18:48.676Z,29.6681,81.357,10,4.5,mb,24,115,7.955,0.72,us,us6000lgeh,2023-12-26T21:24:33.040Z,"60 km NE of Dipayal, Nepal",earthquake,12.92,1.977,0.204,7,reviewed,us,us
2023-10-16T23:13:31.567Z,9.3696,94.0097,10.254,4.5,mb,48,55,6.462,0.69,us,us6000lgxp,2023-12-26T21:24:46.040Z,"289 km SSE of Port Blair, India",earthquake,9.57,4.292,0.102,28,reviewed,us,us
2023-10-13T01:09:26.768Z,36.0303,68.7405,10,4.7,mb,72,46,1.507,0.94,us,us6000lf95,2023-12-16T22:13:08.040Z,"9 km NNE of Pul-e Khumrī, Afghanistan",earthquake,6.7,1.779,0.062,80,reviewed,us,us
2023-10-13T00:03:14.558Z,36.0555,68.7756,10,4.9,mb,129,35,1.527,0.6,us,us6000lf8s,2023-12-16T22:13:08.040Z,"10 km SE of Baghlān, Afghanistan",earthquake,7,1.814,0.045,156,reviewed,us,us
2023-10-11T18:37:21.967Z,29.5869,81.1801,10,4.8,mb,88,46,4.017,0.62,us,us6000lewe,2023-12-16T22:13:07.040Z,"43 km NNE of Dipayal, Nepal",earthquake,8.19,1.811,0.051,119,reviewed,us,us
2023-10-08T13:37:04.576Z,31.7268,79.3465,10,4.5,mb,34,161,5.471,0.99,us,us6000le17,2023-12-16T22:13:05.040Z,"131 km N of Joshīmath, India",earthquake,8.96,1.91,0.131,17,reviewed,us,us
2023-10-07T23:57:26.766Z,9.2935,93.8804,10,4.5,mb,30,150,5.056,0.82,us,us6000lev0,2023-12-14T21:26:57.040Z,"290 km SSE of Port Blair, India",earthquake,12.19,1.934,0.139,15,reviewed,us,us
2023-10-07T21:49:41.275Z,9.2548,93.8582,10,4.6,mb,54,55,5.039,0.43,us,us6000ldwk,2023-12-14T21:26:56.040Z,"293 km SSE of Port Blair, India",earthquake,7.39,1.802,0.1,30,reviewed,us,us
2023-10-07T06:00:01.972Z,29.5133,81.2055,10,5,mb,112,46,3.966,0.51,us,us6000ldp9,2023-12-14T21:26:55.040Z,"38 km NE of Dipayal, Nepal",earthquake,8.76,1.859,0.055,105,reviewed,us,us
2023-10-03T11:53:17.879Z,29.5106,81.1706,10,4.5,mb,47,79,3.992,0.38,us,us6000lchg,2023-12-14T21:26:51.040Z,"35 km NE of Dipayal, Nepal",earthquake,6.85,1.672,0.088,38,reviewed,us,us
2023-10-03T11:34:10.972Z,29.5637,81.257,10,4.8,mb,76,45,3.946,0.39,us,us6000lch4,2023-12-14T21:26:51.040Z,"45 km NE of Dipayal, Nepal",earthquake,4.93,1.841,0.068,67,reviewed,us,us
2023-10-03T09:28:43.898Z,29.2397,81.2051,10,4.8,mb,80,81,3.861,0.28,us,us6000ldiq,2023-12-14T21:26:54.040Z,"25 km E of Dipayal, Nepal",earthquake,8.06,1.815,0.07,64,reviewed,us,us
2023-10-03T09:21:03.018Z,29.4973,81.242,13,5.7,mww,226,23,3.93,0.33,us,us6000lcgj,2023-12-14T21:26:51.040Z,"39 km NE of Dipayal, Nepal",earthquake,4.47,1.784,0.052,36,reviewed,us,us
2023-10-03T08:55:50.480Z,29.459,81.2188,10,4.9,mb,83,49,3.933,0.59,us,us6000lcfg,2023-12-14T21:26:51.040Z,"34 km NE of Dipayal, Nepal",earthquake,7.34,1.76,0.059,91,reviewed,us,us
2023-10-02T12:45:15.979Z,25.9206,90.5798,10,4.9,mww,119,36,3.799,0.6,us,us6000lc8t,2023-12-14T21:26:51.040Z,"28 km S of Goālpāra, India",earthquake,7.21,1.834,0.098,10,reviewed,us,us
2023-09-26T06:53:25.822Z,34.9414,73.8424,10,4.5,mb,60,65,1.372,0.62,us,us7000ky4x,2023-12-09T22:00:45.040Z,"71 km NNE of Muzaffarābād, Pakistan",earthquake,6.9,1.83,0.089,37,reviewed,us,us
2023-09-24T21:01:37.674Z,6.9366,94.6214,10,4.6,mb,70,103,5.954,0.6,us,us7000kxvg,2023-12-09T22:00:44.040Z,"138 km NNW of Sabang, Indonesia",earthquake,9.41,1.813,0.074,55,reviewed,us,us
2023-09-24T16:34:31.139Z,7.0637,94.6399,10,4.8,mb,46,56,5.931,0.78,us,us7000kxu9,2023-12-09T22:00:44.040Z,"149 km NNW of Sabang, Indonesia",earthquake,5.47,1.829,0.107,29,reviewed,us,us
2023-09-23T14:24:34.421Z,17.1447,96.1004,10,4.8,mb,67,44,3.006,0.63,us,us7000kxn3,2023-12-02T23:01:11.040Z,"38 km N of Yangon, Myanmar",earthquake,4.36,1.841,0.062,80,reviewed,us,us
2023-09-11T22:09:28.226Z,5.6435,94.9752,99.979,4.6,mb,98,124,2.006,0.6,us,us7000kv60,2023-11-18T22:29:33.040Z,"41 km WNW of Banda Aceh, Indonesia",earthquake,4.64,6.532,0.066,68,reviewed,us,us
2023-09-11T17:32:00.809Z,24.3645,94.8511,110.242,5,mww,126,29,3.39,0.87,us,us7000kv42,2023-11-18T22:29:33.040Z,"83 km ESE of Wāngjing, India",earthquake,7.72,5.096,0.089,12,reviewed,us,us
2023-09-10T00:10:51.381Z,30.4554,94.829,10,4.6,mb,65,81,3.295,0.78,us,us7000kupj,2023-11-18T22:29:32.040Z,"217 km NNE of Shi Yomi, India",earthquake,5.72,1.769,0.08,46,reviewed,us,us
2023-09-09T10:18:30.146Z,24.6464,92.7849,47.764,4.8,mb,115,36,5.249,0.5,us,us7000kuka,2023-11-17T19:47:51.040Z,"19 km ENE of Lāla, India",earthquake,7.91,5.251,0.043,165,reviewed,us,us
2023-09-08T19:33:41.473Z,30.3347,94.8244,34.851,4.8,mb,74,69,3.268,0.58,us,us7000kudj,2023-11-17T19:47:51.040Z,"204 km NNE of Shi Yomi, India",earthquake,7.42,4.537,0.052,113,reviewed,us,us
2023-09-05T18:02:04.607Z,36.4881,70.444,203.373,4.6,mb,133,39,2.255,0.69,us,us7000kthe,2023-11-17T19:47:49.040Z,"53 km E of Farkhār, Afghanistan",earthquake,6.85,4.978,0.044,163,reviewed,us,us
2023-09-03T09:59:03.213Z,9.2199,93.8879,10,4.7,mb,59,106,6.64,0.51,us,us7000kt05,2023-11-17T19:47:48.040Z,"298 km SSE of Port Blair, India",earthquake,9.18,1.867,0.08,47,reviewed,us,us
2023-08-31T16:53:12.225Z,34.6691,69.5179,14.895,4.6,mb,114,39,0.412,1.09,us,us7000ksg5,2023-11-04T21:36:05.040Z,"23 km SSW of Tagāb, Afghanistan",earthquake,5.87,4.247,0.057,95,reviewed,us,us
2023-08-31T08:54:42.049Z,34.6507,81.8208,10,4.5,mb,65,108,7.16,0.49,us,us7000ksat,2023-11-04T21:36:02.040Z,"201 km S of Aqqan, China",earthquake,7.97,1.895,0.081,45,reviewed,us,us
2023-08-28T04:35:08.795Z,36.4901,70.3356,202.515,4.8,mb,96,41,2.212,0.79,us,us7000krez,2023-11-04T21:35:38.040Z,"43 km ESE of Farkhār, Afghanistan",earthquake,6.91,5.133,0.041,188,reviewed,us,us
2023-08-26T11:23:06.308Z,34.4965,81.5254,10,4.6,mb,53,74,6.903,0.88,us,us7000kr64,2023-10-28T19:15:38.040Z,"222 km S of Aqqan, China",earthquake,3.28,1.884,0.08,47,reviewed,us,us
2023-08-22T18:46:54.966Z,30.3642,94.8494,31.914,4.9,mb,161,40,3.294,0.61,us,us7000kq64,2023-10-28T19:15:34.040Z,"208 km NNE of Shi Yomi, India",earthquake,7.48,4.53,0.038,216,reviewed,us,us
2023-08-21T10:42:06.204Z,20.6207,94.4893,81.737,4.5,mb,48,82,3.347,0.59,us,us7000kpvh,2023-10-28T19:15:33.040Z,"43 km WNW of Yenangyaung, Myanmar",earthquake,8.24,6.332,0.072,56,reviewed,us,us
2023-08-21T04:40:02.617Z,36.5249,70.9438,182.685,4.5,mb,77,43,2.514,0.82,us,us7000kpsr,2023-10-28T19:15:33.040Z,"38 km SSE of Jurm, Afghanistan",earthquake,6.48,5.694,0.063,73,reviewed,us,us
2023-08-20T07:42:43.181Z,20.6364,94.4043,61.128,4.7,mb,125,56,4.797,0.54,us,us7000kpky,2024-01-18T20:44:43.294Z,"51 km SW of Chauk, Myanmar",earthquake,7.54,4.901,0.051,117,reviewed,us,us
2023-08-19T23:06:55.832Z,30.2806,94.9315,10,4.6,mb,72,76,3.35,0.61,us,us7000kpiu,2023-10-27T21:39:04.040Z,"201 km NNE of Shi Yomi, India",earthquake,6.13,1.861,0.083,44,reviewed,us,us
